dataset,scene,arm,aj3d_percent,mte_cm,selected_step
panoptic,tennis,full,83.944255409131,2.814363010282464,240
dexycb,20200813-subject-02__20200813_145653,full,65.90836614981671,4.817013023136951,270
kubric,1,full,67.42033962788997,15.921009686644538,110
dexycb,20200813-subject-02__20200813_145653,frozen_fnet,60.10565539964906,3.581756168796346,100
kubric,1,frozen_fnet,62.70464821921428,23.7019874053658,30
panoptic,tennis,frozen_fnet,82.38925204428229,2.611598970286329,40
dexycb,20200813-subject-02__20200813_145653,residual_fusion,69.8944971207842,4.182941524993566,140
kubric,1,residual_fusion,66.38220547418165,16.607325720724475,250
panoptic,tennis,residual_fusion,83.30211817797489,3.1189479471376056,130
dexycb,20200813-subject-02__20200813_145653,without_dino,58.41853917784267,5.355770422238493,220
kubric,1,without_dino,69.01228225172935,13.502934779353382,120
panoptic,tennis,without_dino,75.10611215938648,6.070879919399672,260
