cohort,dataset,method,split,scenes,aj2d_256,ap2d_256,accuracy4px,aj3d,mte_m,ap3d,oa3d
mixed,dexycb,CoTracker3 online,all,10,0.9264400237484633,0.9648689651789594,0.959245431335537,,,,
mixed,dexycb,GT-AJ-selected TTO,all,10,0.8155642532345068,0.9560215425619047,0.9453947684063901,0.9113368772193502,0.0036226301288081685,0.9538776154608554,0.9706520906714105
mixed,dexycb,Initialization,all,10,0.7963708574695074,0.9383635887877156,0.9379191483548883,0.8820632653917777,0.008045670468800382,0.9293440858762374,0.9706520906714105
mixed,dexycb,MVTracker + DUSt3R,all,10,0.6005660082918666,0.7701946762366868,0.641870473894284,0.8229124613165393,0.010255260223721053,0.8864651806799205,0.9706520906714105
mixed,dexycb,Primary pseudo-selected TTO,all,10,0.8225381419397084,0.9619412382252264,0.954497849040646,0.9070576342507302,0.004247841762622784,0.9488759522171828,0.9706520906714105
mixed,kubric,CoTracker3 online,all,30,0.8566583917886058,0.9203533626839404,0.9214786358848467,,,,
mixed,kubric,GT-AJ-selected TTO,all,30,0.671227892104598,0.8933889332926931,0.8807052578787549,0.6643632704121426,0.3769676548649571,0.7375066580564188,0.9365533597845138
mixed,kubric,Initialization,all,30,0.6195564918722768,0.8314854277851242,0.7989209134525402,0.6592025237227552,0.522353186765043,0.7273309767918483,0.9365533597845138
mixed,kubric,MVTracker + DUSt3R,all,30,0.6086439085754652,0.8091864926233918,0.716300957118547,0.673511840316669,0.1340212639574763,0.7721353973255807,0.8673040189088492
mixed,kubric,Primary pseudo-selected TTO,all,30,0.6527979532075132,0.8684824102976034,0.8574632816086426,0.625425440012319,0.42414565616887245,0.6962208209110512,0.9365533597845138
mixed,panoptic,CoTracker3 online,all,6,0.8388357719018305,0.9237244902621867,0.9442005679737061,,,,
mixed,panoptic,GT-AJ-selected TTO,all,6,0.8007445251694185,0.9074609684582455,0.9047642300350723,0.9127327508359278,0.02651230306908503,0.9343742372798278,0.9976284770387158
mixed,panoptic,Initialization,all,6,0.7625481631898863,0.8722725737134575,0.8528986197679697,0.8785225114857207,0.03417120313056307,0.9040241972914181,0.9976284770387158
mixed,panoptic,MVTracker + DUSt3R,all,6,0.41155969358387995,0.5197935781325768,0.26987375049148615,0.7190115316391764,0.07048524793895704,0.7738247015852965,0.9976284770387158
mixed,panoptic,Primary pseudo-selected TTO,all,6,0.8242899120341641,0.9262845574202082,0.9451358346698423,0.8513635754004937,0.054015708419825115,0.8688452327659903,0.9976284770387158
original,dexycb,CoTracker3 online,all,10,0.762880068682374,0.8372986545358639,0.8116557102721703,,,,
original,dexycb,GT-AJ-selected TTO,all,10,0.6588841878498248,0.8190298583405198,0.7980381444264771,0.7494940247629758,0.023571534925065408,0.8314675158762357,0.9129996758401813
original,dexycb,Initialization,all,10,0.6104156928149661,0.7606636093216397,0.7767003052299933,0.7044793520628725,0.03691407123269528,0.7884957544924218,0.9129996758401813
original,dexycb,MVTracker + DUSt3R,all,10,0.4732770014850475,0.6309568950953679,0.5341194691511633,0.6725088932860349,0.03103752136581761,0.762122089406104,0.9129996758401813
original,dexycb,Primary pseudo-selected TTO,all,10,0.6671840846110005,0.8299909171643179,0.8093047109260272,0.7178289311308121,0.028657790146479557,0.7964984370839987,0.9129996758401813
original,kubric,CoTracker3 online,all,30,0.7346483825374646,0.8140941367807603,0.7309779134891511,,,,
original,kubric,GT-AJ-selected TTO,all,30,0.6560354970116643,0.8167532612786775,0.7369815474146983,0.6421125481014024,0.2823211206634975,0.6943301889699686,0.9852262739120426
original,kubric,Initialization,all,30,0.550270770690571,0.7008398619427468,0.6381968495105451,0.5788641934352309,0.3992105717921015,0.6328414588914609,0.9852262739120426
original,kubric,MVTracker + DUSt3R,all,30,0.5772392057344684,0.7456955284425912,0.583806548309084,0.6003615398303441,0.21131295482691712,0.690976297559382,0.8503013300284318
original,kubric,Primary pseudo-selected TTO,all,30,0.6610320036943043,0.8217431348664532,0.7427940191420531,0.630099652687128,0.2853535232289535,0.681004367791456,0.9852262739120426
original,panoptic,CoTracker3 online,all,6,0.7987877869856974,0.8986713654259106,0.8635561802713556,,,,
original,panoptic,GT-AJ-selected TTO,all,6,0.7787215667407926,0.891346463097733,0.8530946573321806,0.8974424321489335,0.024221654654143197,0.9401349375950835,0.9693895147181867
original,panoptic,Initialization,all,6,0.7414992405052176,0.8580440928517127,0.779645715330505,0.8823942709511163,0.024640372643222413,0.9292765319129647,0.9693895147181867
original,panoptic,MVTracker + DUSt3R,all,6,0.5135452654856636,0.624012212254269,0.32932081550058817,0.7900422829986975,0.04751781638542515,0.851291706213865,0.9693895147181867
original,panoptic,Primary pseudo-selected TTO,all,6,0.7921770434266614,0.9050015230851783,0.8778546115886138,0.8808021365810412,0.032177621749732536,0.9186229740747645,0.9693895147181867
